year	age_cat	p_msm	var
2010	1	0.724	0.001722621
2011	1	0.815	0.000386603
2012	1	0.879	0.000818146
2013	1	0.888	0.000250519
2014	1	0.789	0.001180702
2015	1	0.783	0.000396988
2016	1	0.723	0.001602168
2010	2	0.882	0.000242037
2011	2	0.859	0.000692109
2012	2	0.897	0.000147119
2013	2	0.86	0.001003333
2014	2	0.801	0.000286689
2015	2	0.811	0.001368563
2016	2	0.829	0.000247398
